time; diff_3D [m]; diff_2D [m]; gdop; max_abs_resp[m]; max_abs_resc[m]
518450.052001; 0.169371; 0.0142816; 2.74683; 0.256739; -0.0383123
518450.202001; 0.16774; 0.0146596; 2.74687; 0.269198; -0.0484262
518450.352001; 0.165584; 0.015103; 2.74692; 0.267851; -0.057188
518450.502001; 0.163485; 0.015304; 2.74696; 0.306118; -0.0290026
518450.652001; 0.163163; 0.0156661; 2.74701; 0.168197; 0.0238788
518450.802001; 0.161861; 0.0159852; 2.74705; 0.180077; 0.0282885
518450.952001; 0.159757; 0.0159452; 2.74709; 0.521499; -0.0369709
518451.102001; 0.157852; 0.015685; 2.74714; 0.664232; -0.047936
518451.252001; 0.156156; 0.015444; 2.74718; 0.490315; -0.0354936
518451.402001; 0.153962; 0.0152437; 2.74723; 0.503898; -0.0409531
518451.552001; 0.150577; 0.0147045; 2.74727; 0.904121; -0.0546901
518451.702001; 0.147946; 0.0138043; 2.74731; 0.998911; -0.0545982
518451.852001; 0.146113; 0.0129868; 2.74736; 0.680356; -0.0356155
518452.002001; 0.143868; 0.0120358; 2.7474; 0.965501; -0.056408
518452.152001; 0.14274; 0.0112102; 2.74745; 0.697153; -0.0387709
518452.302001; 0.143231; 0.010528; 2.74749; -0.44939; 0.0364475
518452.452001; 0.144371; 0.0104277; 2.74753; -0.51005; 0.0840167
518452.602001; 0.146219; 0.010986; 2.74758; -0.720099; 0.0940296
518452.752001; 0.147101; 0.0119403; 2.74762; -0.804747; 0.0828016
518452.902001; 0.147044; 0.0127681; 2.74767; -0.823586; 0.0836724
518453.052001; 0.146974; 0.013448; 2.74771; -0.763078; 0.0740266
518453.202001; 0.147493; 0.0149025; 2.74775; -0.937905; 0.0852902
518453.352001; 0.148373; 0.0167237; 2.7478; -1.03705; 0.0894195
518453.502001; 0.149731; 0.0191981; 2.74784; -1.21611; 0.131597
518453.652001; 0.152674; 0.0209012; 2.74788; -1.04029; 0.170115
518453.802001; 0.156007; 0.0230194; 2.74793; -1.16414; 0.145076
518453.952001; 0.15903; 0.0252284; 2.74797; -1.28056; 0.169646
518454.102001; 0.16166; 0.027291; 2.74802; -1.20587; 0.149719
518454.252001; 0.164172; 0.0298226; 2.74806; -1.28609; 0.145959
518454.402001; 0.167577; 0.0321638; 2.7481; -1.26961; 0.133527
518454.552001; 0.170132; 0.034659; 2.74815; -1.21101; 0.141697
518454.702001; 0.17273; 0.0368777; 2.74819; -1.19697; 0.105236
518454.852001; 0.174983; 0.0390498; 2.74824; -1.08315; 0.0767516
518455.002001; 0.177058; 0.0416092; 2.74828; -1.12731; 0.0817626
518455.152001; 0.178934; 0.0441635; 2.74832; -0.941713; 0.0787203
518455.302001; 0.182186; 0.0468898; 2.74837; -1.09544; 0.0981591
518455.452001; 0.185304; 0.0494549; 2.74841; -1.04623; 0.0708221
518455.602001; 0.187611; 0.0517917; 2.74846; -1.01946; 0.0740495
518455.752001; 0.189965; 0.0537142; 2.7485; -0.973062; 0.0840409
518455.902001; 0.1919; 0.0558273; 2.74854; -0.902041; 0.0552505
518456.052001; 0.193804; 0.0579526; 2.74859; -0.824565; 0.0682767
