tm; prn; seq_fract; phase
136830; 14; 0.360965166241; 308474.055664
136830; 25; 0.997055254178; 199961.150391
137830; 12; 0.727847362403; 428501.425781
137830; 24; 0.0767268880736; 707306.263672
137830; 14; 0.359927405603; 311436.679688
137830; 25; 0.997477664845; 200618.523438
138830; 12; 0.726675785612; 431656.708008
138830; 24; 0.0741547101643; 712668.776367
138830; 14; 0.358874220168; 314399.579102
138830; 25; 0.997903741896; 201275.833008
139830; 12; 0.725508372299; 434813.307617
139830; 24; 0.0715797527228; 718032.613281
139830; 14; 0.357820742298; 317364
139830; 25; 0.998310754308; 201934.353516
140830; 12; 0.724337260006; 437970.691406
140830; 24; 0.0689979086164; 723397.231445
140830; 14; 0.356782370945; 320329.417969
140830; 25; 0.998724501347; 202593.538086
141830; 12; 0.723165116506; 441125.355469
141830; 24; 0.066441108007; 728759.124023
141830; 14; 0.355724585475; 323292.317383
141830; 25; 0.999135063728; 203249.90332
142830; 12; 0.722000805195; 444282.392578
142830; 24; 0.0638528969139; 734123.392578
142830; 14; 0.354675290175; 326257.808594
142830; 25; 0.999545374187; 203908.524414
143830; 12; 0.720825231168; 447440.861328
143830; 24; 0.0612982097082; 739489.094727
143830; 14; 0.353616971523; 329224.941406
143830; 25; 0.999966002768; 204568.478516
144830; 12; 0.719652815256; 450598.455078
144830; 24; 0.0587186384946; 744853.910156
144830; 14; 0.352575595723; 332191.412109
144830; 25; 0.000370705733076; 205227.427734
145830; 12; 0.718482320895; 453754.350586
145830; 24; 0.0561463960912; 750217.024414
145830; 14; 0.35152565199; 335156.391602
145830; 25; 0.000798540888354; 205884.579102
146830; 12; 0.717308676569; 456911.306641
146830; 24; 0.0535745939706; 755581.206055
146830; 14; 0.35048262286; 338122.649414
146830; 25; 0.001208699774; 206542.682617
147830; 12; 0.716138661141; 460068.076172
147830; 24; 0.0509969545528; 760945.203125
147830; 14; 0.349423934007; 341088.917969
147830; 25; 0.00163921620697; 207200.486328
148830; 12; 0.714965330204; 463228.049805
148830; 24; 0.0484285815619; 766312.381836
148830; 14; 0.348365478916; 344058.619141
148830; 25; 0.00204080459662; 207861.386719
149830; 12; 0.713788212975; 466388.702148
149830; 24; 0.0458580930717; 771680.254883
149830; 14; 0.34732307028; 347029.194336
149830; 25; 0.0024573742412; 208522.854492
150830; 12; 0.712615967495; 469552.397461
150830; 24; 0.0432801148854; 777051.163086
150830; 14; 0.346266000299; 350003.030273
150830; 25; 0.00286624836735; 209187.250977
151830; 12; 0.711444735527; 472713.09375
151830; 24; 0.0407122729812; 782419.069336
151830; 14; 0.345217823982; 352974.071289
151830; 25; 0.0032824287191; 209848.541016
152830; 12; 0.710268938914; 475874.172852
152830; 24; 0.0381324656773; 787787.364258
152830; 14; 0.344164427603; 355945.717773
152830; 25; 0.00368559639901; 210510.097656
153830; 12; 0.709104152862; 479035.150391
153830; 24; 0.0355495715048; 793155.543945
153830; 14; 0.343104756204; 358917.472656
153830; 25; 0.00411526369862; 211171.454102
154830; 12; 0.707931198645; 482195.435547
154830; 24; 0.0329765065107; 798523.033203
154830; 14; 0.34205801785; 361888.738281
154830; 25; 0.00451957434416; 211831.998047
155830; 12; 0.706756605767; 485356.808594
155830; 24; 0.0304137398489; 803891.600586
155830; 14; 0.341006064555; 364862.299805
155830; 25; 0.00493386900052; 212493.524414
156830; 12; 0.705582471564; 488518.896484
156830; 24; 0.0278374289628; 809260.893555
156830; 14; 0.33995507285; 367835.786133
156830; 25; 0.00534983235411; 213155.657227
157830; 12; 0.704404268647; 491682.039062
157830; 24; 0.0252601944376; 814631.228516
157830; 14; 0.338891432155; 370810.549805
