prog start
hv ver: 3.4
F_SAMPLE = 222111
   idx;  inp_i;  inp_q;  out_i;  out_q;   ref_i; ref_q;     ok
   397;     -3;     -1;      5;      5;      5;      5;      1 
   398;     -3;     -1;      5;      5;      5;      5;      1 
   399;     -3;     -1;      5;      5;      5;      5;      1 
   400;     -3;     -1;      5;      5;      5;      5;      1 
   401;     -3;     -1;      5;      5;      5;      5;      1 
   402;     -3;     -1;      5;      5;      5;      5;      1 
   403;     -3;     -1;      5;      5;      5;      5;      1 
   404;     -3;     -1;      5;      5;      5;      5;      1 
   405;     -3;     -1;      5;      5;      5;      5;      1 
   406;     -3;     -1;      5;      5;      5;      5;      1 
   407;     -3;     -1;      5;      5;      5;      5;      1 
   408;     -3;     -1;      5;      5;      5;      5;      1 
   409;     -3;     -1;      5;      5;      5;      5;      1 
   410;     -3;     -1;      5;      5;      5;      5;      1 
   411;     -3;     -1;      5;      5;      5;      5;      1 
   412;     -3;     -1;      5;      5;      5;      5;      1 
   413;     -3;     -1;      5;      5;      5;      5;      1 
   414;     -3;     -1;      5;      5;      5;      5;      1 
   415;     -3;     -1;      5;      5;      5;      5;      1 
   416;     -3;     -1;      5;      5;      5;      5;      1 
   417;     -3;      1;      7;      1;      5;      5;      0 
   418;     -3;      1;      5;      5;      5;      5;      1 
   419;     -3;      1;      5;      5;      5;      5;      1 
   420;     -3;      1;      5;      5;      5;      5;      1 
   421;     -3;      1;      5;      5;      5;      5;      1 
   422;     -3;      1;      5;      5;      5;      5;      1 
   423;     -3;      1;      5;      5;      5;      5;      1 
   424;     -3;      1;      5;      5;      5;      5;      1 
   425;     -3;      1;      5;      5;      5;      5;      1 
   426;     -3;      1;      5;      5;      5;      5;      1 
   427;     -3;      1;      5;      5;      5;      5;      1 
   428;     -3;      1;      5;      5;      5;      5;      1 
   429;     -3;      1;      5;      5;      5;      5;      1 
   430;     -3;      1;      5;      5;      5;      5;      1 
   431;     -3;      1;      5;      5;      5;      5;      1 
   432;     -3;      1;      5;      5;      5;      5;      1 
   433;     -3;      1;      5;      5;      5;      5;      1 
   434;     -3;      1;      5;      5;      5;      5;      1 
   435;     -3;      1;      5;      5;      5;      5;      1 
   436;     -3;      1;      5;      5;      5;      5;      1 
   437;     -3;      1;      5;      5;      5;      5;      1 
   438;     -3;      1;      5;      5;      5;      5;      1 
   439;     -3;      1;      5;      5;      5;      5;      1 
   440;     -3;      1;      5;      5;      5;      5;      1 
   441;     -3;      1;      5;      5;      5;      5;      1 
   442;     -3;      1;      5;      5;      5;      5;      1 
   443;     -3;      1;      5;      5;      5;      5;      1 
   444;     -3;      1;      5;      5;      5;      5;      1 
   445;     -3;      1;      5;      5;      5;      5;      1 
   446;     -3;      1;      5;      5;      5;      5;      1 
   447;     -3;      1;      5;      5;      5;      5;      1 
   448;     -3;      1;      5;      5;      5;      5;      1 
   449;     -3;      1;      5;      5;      5;      5;      1 
   450;     -3;      1;      5;      5;      5;      5;      1 
   451;     -3;      1;      5;      5;      5;      5;      1 
   452;     -3;      1;      5;      5;      5;      5;      1 
   453;     -3;      1;      5;      5;      5;      5;      1 
   454;     -3;      1;      5;      5;      5;      5;      1 
   455;     -3;      1;      5;      5;      5;      5;      1 
   456;     -3;      1;      5;      5;      5;      5;      1 
   457;     -3;      1;      5;      5;      5;      5;      1 
   458;     -3;      1;      5;      5;      5;      5;      1 
   459;     -3;      1;      5;      5;      5;      5;      1 
   460;     -3;      1;      5;      5;      5;      5;      1 
   461;     -3;      1;      5;      5;      5;      5;      1 
   462;     -3;      1;      5;      5;      5;      5;      1 
   463;     -3;      1;      5;      5;      5;      5;      1 
   464;     -3;      1;      5;      5;      5;      5;      1 
   465;     -3;      1;      5;      5;      5;      5;      1 
   466;     -3;      1;      5;      5;      5;      5;      1 
   467;     -3;      1;      5;      5;      5;      5;      1 
   468;     -3;      1;      5;      5;      5;      5;      1 
   469;     -3;      1;      5;      5;      5;      5;      1 
   470;     -3;      1;      5;      5;      5;      5;      1 
   471;     -3;      1;      5;      5;      5;      5;      1 
   472;     -3;      1;      5;      5;      5;      5;      1 
   473;     -3;      1;      5;      5;      5;      5;      1 
   474;     -3;      1;      5;      5;      5;      5;      1 
   475;     -3;      1;      5;      5;      5;      5;      1 
   476;     -3;      1;      5;      5;      5;      5;      1 
   477;     -3;      1;      5;      5;      5;      5;      1 
   478;     -3;      1;      5;      5;      5;      5;      1 
   479;     -3;      1;      5;      5;      5;      5;      1 
   480;     -3;      1;      5;      5;      5;      5;      1 
   481;     -3;      1;      5;      5;      5;      5;      1 
   482;     -3;      1;      5;      5;      5;      5;      1 
   483;     -3;      1;      5;      5;      5;      5;      1 
   484;     -3;      1;      5;      5;      5;      5;      1 
   485;     -3;      1;      5;      5;      5;      5;      1 
   486;     -3;      1;      5;      5;      5;      5;      1 
   487;     -3;      1;      5;      5;      5;      5;      1 
   488;     -3;      1;      5;      5;      5;      5;      1 
   489;     -3;      1;      5;      5;      5;      5;      1 
   490;     -3;      1;      5;      5;      5;      5;      1 
