----------------
prog start
hv ver: 3.13
code_test 
	 code_len = 120, chip_div = 1, spacing_len = 1, pcode[0] = 0x0030305F 
	 code_ctrl = 0x00000077
-3 -3 -3 -3  3   |   0   |  -3 -3 -3 -3  3   |   1   |    44   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    44   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    45   |   1  0  0  0  0   |   0   |  OK
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   1   |    45   |   1  0  0  0  0   |   1   |  OK
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   0   |    46   |   1  1  0  0  0   |   1   |  OK
 3  3 -3 -3 -3   |   1   |   3  3 -3 -3 -3   |   0   |    46   |   1  1  0  0  0   |   1   |  OK
 3  3 -3 -3 -3   |   1   |   3  3 -3 -3 -3   |   0   |    47   |   0  1  1  0  0   |   1   |  OK
-3  3  3 -3 -3   |   0   |  -3  3  3 -3 -3   |   0   |    47   |   0  1  1  0  0   |   0   |  OK
-3  3  3 -3 -3   |   0   |  -3  3  3 -3 -3   |   0   |    48   |   0  0  1  1  0   |   0   |  OK
-3 -3  3  3 -3   |   0   |  -3 -3  3  3 -3   |   0   |    48   |   0  0  1  1  0   |   0   |  OK
-3 -3  3  3 -3   |   0   |  -3 -3  3  3 -3   |   0   |    49   |   0  0  0  1  1   |   0   |  OK
-3 -3 -3  3  3   |   0   |  -3 -3 -3  3  3   |   0   |    49   |   0  0  0  1  1   |   0   |  OK
-3 -3 -3  3  3   |   0   |  -3 -3 -3  3  3   |   0   |    50   |   0  0  0  0  1   |   0   |  OK
-3 -3 -3 -3  3   |   0   |  -3 -3 -3 -3  3   |   0   |    50   |   0  0  0  0  1   |   0   |  OK
-3 -3 -3 -3  3   |   0   |  -3 -3 -3 -3  3   |   0   |    51   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    51   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    52   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    52   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   1   |    53   |   1  0  0  0  0   |   0   |  OK
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   1   |    53   |   1  0  0  0  0   |   1   |  OK
 3 -3 -3 -3 -3   |   1   |   3 -3 -3 -3 -3   |   0   |    54   |   1  1  0  0  0   |   1   |  OK
 3  3 -3 -3 -3   |   1   |   3  3 -3 -3 -3   |   0   |    54   |   1  1  0  0  0   |   1   |  OK
 3  3 -3 -3 -3   |   1   |   3  3 -3 -3 -3   |   0   |    55   |   0  1  1  0  0   |   1   |  OK
-3  3  3 -3 -3   |   0   |  -3  3  3 -3 -3   |   0   |    55   |   0  1  1  0  0   |   0   |  OK
-3  3  3 -3 -3   |   0   |  -3  3  3 -3 -3   |   0   |    56   |   0  0  1  1  0   |   0   |  OK
-3 -3  3  3 -3   |   0   |  -3 -3  3  3 -3   |   0   |    56   |   0  0  1  1  0   |   0   |  OK
-3 -3  3  3 -3   |   0   |  -3 -3  3  3 -3   |   0   |    57   |   0  0  0  1  1   |   0   |  OK
-3 -3 -3  3  3   |   0   |  -3 -3 -3  3  3   |   0   |    57   |   0  0  0  1  1   |   0   |  OK
-3 -3 -3  3  3   |   0   |  -3 -3 -3  3  3   |   0   |    58   |   0  0  0  0  1   |   0   |  OK
-3 -3 -3 -3  3   |   0   |  -3 -3 -3 -3  3   |   0   |    58   |   0  0  0  0  1   |   0   |  OK
-3 -3 -3 -3  3   |   0   |  -3 -3 -3 -3  3   |   0   |    59   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    59   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    60   |   0  0  0  0  0   |   0   |  OK
-3 -3 -3 -3 -3   |   0   |  -3 -3 -3 -3 -3   |   0   |    60   |   0  0  0  0  0   |   0   |  OK
