----------------
prog start
hv ver: 3.13
accu test 
	 code_len = 1023, chip_div = 2, spacing_len = 1, pcode[0] = 0x23C495A7 
	 code_ctrl = 0x040003FE
  |    51   |   0   |   0  0  0  1  0   |   -117  -109     3    11    33    41    33    41   -37   -29   |   0   ||    24  |   1  1  1  1  1   |      0   -30   -80    50   230   |   0   |  ERR
  |    52   |   0   |   0  0  0  0  1   |   -122  -114    -2     6    28    36    38    46   -42   -34   |   0   ||    24  |   1  1  1  1  1   |      5   -25   -75    55   235   |   0   |  ERR
  |    52   |   0   |   0  0  0  0  1   |   -127  -119    -7     1    23    31    33    41   -37   -29   |   0   ||    24  |   1  1  1  1  1   |     10   -20   -70    60   240   |   0   |  ERR
  |    53   |   1   |   0  0  0  0  0   |   -132  -124   -12    -4    18    26    28    36   -32   -24   |   0   ||    24  |   1  1  1  1  1   |     15   -15   -65    65   245   |   0   |  ERR
  |    53   |   1   |   0  0  0  0  0   |   -137  -129   -17    -9    13    21    23    31   -37   -29   |   0   ||    25  |   1  1  1  1  1   |     20   -10   -60    70   250   |   0   |  ERR
  |    53   |   1   |   0  0  0  0  0   |   -142  -134   -22   -14     8    16    18    26   -42   -34   |   0   ||    25  |   1  1  1  1  1   |     25    -5   -55    75   255   |   0   |  ERR
  |    54   |   1   |   1  0  0  0  0   |   -147  -139   -27   -19     3    11    13    21   -47   -39   |   0   ||    25  |   1  1  1  1  1   |     30     0   -50    80   260   |   0   |  ERR
  |    54   |   1   |   1  0  0  0  0   |   -142  -134   -32   -24    -2     6     8    16   -52   -44   |   0   ||    25  |   1  1  1  1  1   |     35     5   -45    85   265   |   0   |  ERR
  |    55   |   0   |   1  1  0  0  0   |   -137  -129   -37   -29    -7     1     3    11   -57   -49   |   0   ||    26  |   0  1  1  1  1   |     40    10   -40    90   270   |   0   |  ERR
  |    55   |   0   |   1  1  0  0  0   |   -132  -124   -32   -24   -12    -4    -2     6   -62   -54   |   0   ||    26  |   0  1  1  1  1   |     35    15   -35    95   275   |   0   |  ERR
  |    56   |   1   |   0  1  1  0  0   |   -127  -119   -27   -19   -17    -9    -7     1   -67   -59   |   0   ||    26  |   0  0  1  1  1   |     30    20   -30   100   280   |   0   |  ERR
  |    56   |   1   |   0  1  1  0  0   |   -132  -124   -22   -14   -12    -4   -12    -4   -72   -64   |   0   ||    26  |   0  0  1  1  1   |     25    15   -25   105   285   |   0   |  ERR
